Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-10-11 21:00:00'), Timestamp('2023-10-12 09:00:00'))",0 days 00:39:48,0 days 11:20:12
"(Timestamp('2023-10-12 21:00:00'), Timestamp('2023-10-13 09:00:00'))",0 days 01:56:15,0 days 10:03:45
"(Timestamp('2023-10-13 21:00:00'), Timestamp('2023-10-14 09:00:00'))",0 days 02:01:39,0 days 09:58:21
"(Timestamp('2023-10-14 21:00:00'), Timestamp('2023-10-15 09:00:00'))",0 days 01:23:44,0 days 10:36:16
"(Timestamp('2023-10-15 21:00:00'), Timestamp('2023-10-16 09:00:00'))",0 days 01:07:41,0 days 10:52:19
"(Timestamp('2023-10-16 21:00:00'), Timestamp('2023-10-17 09:00:00'))",0 days 03:12:09,0 days 08:47:51
"(Timestamp('2023-10-17 21:00:00'), Timestamp('2023-10-18 09:00:00'))",0 days 01:06:18,0 days 10:53:42
"(Timestamp('2023-10-18 21:00:00'), Timestamp('2023-10-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-19 21:00:00'), Timestamp('2023-10-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-20 21:00:00'), Timestamp('2023-10-21 09:00:00'))",0 days 02:28:07,0 days 09:31:53
"(Timestamp('2023-10-21 21:00:00'), Timestamp('2023-10-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-22 21:00:00'), Timestamp('2023-10-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-23 21:00:00'), Timestamp('2023-10-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-24 21:00:00'), Timestamp('2023-10-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-25 21:00:00'), Timestamp('2023-10-26 09:00:00'))",0 days 00:27:36,0 days 11:32:24
"(Timestamp('2023-10-26 21:00:00'), Timestamp('2023-10-27 09:00:00'))",0 days 00:00:51,0 days 11:59:09
"(Timestamp('2023-10-27 21:00:00'), Timestamp('2023-10-28 09:00:00'))",0 days 00:04:34,0 days 11:55:26
"(Timestamp('2023-10-28 21:00:00'), Timestamp('2023-10-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-29 21:00:00'), Timestamp('2023-10-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-30 21:00:00'), Timestamp('2023-10-31 09:00:00'))",0 days 00:23:28,0 days 11:36:32
"(Timestamp('2023-10-31 21:00:00'), Timestamp('2023-11-01 09:00:00'))",0 days 00:07:23,0 days 11:52:37
"(Timestamp('2023-11-01 21:00:00'), Timestamp('2023-11-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-11-02 21:00:00'), Timestamp('2023-11-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-11-03 21:00:00'), Timestamp('2023-11-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-11-04 21:00:00'), Timestamp('2023-11-05 09:00:00'))",0 days 00:02:52,0 days 11:57:08
"(Timestamp('2023-11-05 21:00:00'), Timestamp('2023-11-05 21:54:25'))",0 days 00:00:00,0 days 00:54:25
